date,experience_rating,would_revisit_rating,comment,cus_no,poi_code
2021-01-02,3,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",228,136
2019-05-13,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",214,49
2013-12-18,4,4,Good food for the price,223,139
2014-04-17,4,3,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",91,159
2012-01-30,4,4,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",198,181
2015-08-18,4,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",133,138
2023-05-02,4,4,Good food for the price,11,228
2008-07-24,4,4,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",166,153
2015-12-23,3,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",302,32
2017-10-18,3,3,Good food for the price,388,209
2011-07-31,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",362,27
2017-08-10,3,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",384,50
2020-06-02,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",100,113
2019-08-25,3,4,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",57,78
2015-01-08,3,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",372,211
2024-08-14,4,3,Great time!,302,95
2014-10-31,3,4,Pog,45,213
2017-01-22,4,4,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",173,6
2006-02-24,3,4,Bringing my gf here next time hehe,119,143
2012-02-06,3,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",354,126
2016-01-21,3,4,Great time!,336,12
2019-07-08,4,3,Great time!,310,126
2014-07-11,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",339,16
2020-11-17,3,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",9,180
2023-10-24,4,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",377,118
2019-05-19,3,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",174,127
2015-09-13,3,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",182,107
2014-10-13,3,4,Great time!,105,86
2005-08-08,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",344,33
2022-06-07,3,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",205,234
2016-06-26,3,3,Great service!,177,144
2013-02-24,3,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",134,97
2024-11-16,3,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",268,48
2010-03-26,3,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",264,172
2014-03-03,3,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",343,58
2012-04-03,3,4,Good food for the price,277,209
2005-08-19,4,4,Bringing my gf here next time hehe,103,106
2017-09-08,3,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",266,100
2018-05-10,4,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",191,116
2007-01-27,3,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",81,100
2015-02-24,3,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",241,48
2009-08-14,3,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",199,47
2017-11-24,4,4,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",49,132
2024-08-06,3,4,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",29,134
2011-11-29,3,3,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",144,38
2015-10-24,4,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",39,22
2009-06-21,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",200,122
2013-09-19,4,4,Great service!,190,83
2006-10-29,3,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",256,184
2015-08-09,4,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",398,77
2013-08-10,4,3,Great service!,198,170
2009-01-08,4,4,Good food for the price,111,3
2008-07-21,3,3,Great time!,224,156
2016-10-19,3,3,Pog,65,178
2016-11-10,3,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",220,29
2017-09-30,4,3,Great food,68,92
2016-11-14,3,4,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",206,119
2010-03-09,3,3,Great time!,94,161
2008-09-25,4,4,Great service!,348,126
2009-09-22,4,3,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",356,21
2017-05-22,4,3,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",207,53
2019-01-27,3,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",395,17
2011-08-10,4,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",24,10
2024-04-25,4,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",362,62
2017-04-01,4,3,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",68,178
2012-11-29,4,3,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",382,143
2011-08-10,3,3,Bringing my gf here next time hehe,157,28
2009-06-13,3,4,Pog,101,85
2018-10-14,4,4,Pog,365,177
2017-08-27,3,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",172,92
2011-10-19,4,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",65,234
2022-10-03,3,3,Pog,48,132
2017-07-05,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",265,79
2012-05-24,3,3,Great time!,222,105
2006-05-24,4,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",16,95
2010-11-05,3,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",72,189
2006-03-18,4,4,Great food,152,1
2008-02-18,3,4,Good food for the price,312,232
2011-03-12,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",384,16
2011-01-29,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",86,229
2023-05-15,3,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",279,83
2012-10-29,3,4,Bringing my gf here next time hehe,183,59
2013-06-30,3,3,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",191,121
2011-10-17,4,4,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",324,102
2011-12-05,4,3,Good food for the price,96,78
2005-09-27,4,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",292,3
2005-08-15,4,4,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",177,135
2020-10-29,3,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",382,54
2017-06-13,3,3,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",271,229
2007-12-03,4,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",215,22
2023-02-26,3,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",128,192
2012-10-27,3,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",108,203
2015-06-17,4,4,Bringing my gf here next time hehe,365,48
2006-10-22,3,3,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",36,45
2007-07-13,4,4,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",80,127
2018-08-01,3,4,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",190,151
2017-02-09,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",97,5
2012-03-11,3,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",38,58
2010-01-17,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",148,110
2006-12-24,4,4,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",396,54
2016-10-01,4,4,Great food,135,44
2007-09-09,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",76,151
2022-05-13,3,3,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",44,198
2017-09-08,3,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",326,99
2011-05-22,4,3,Pog,348,91
2013-07-10,3,3,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",316,156
2011-04-26,4,3,Great service!,54,59
2005-07-25,3,4,Bringing my gf here next time hehe,137,225
2007-10-20,4,4,Great food,93,203
2015-12-18,4,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",81,40
2012-06-18,4,4,Pog,21,71
2013-05-20,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",399,142
2016-09-07,4,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",156,15
2007-12-17,4,4,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",310,12
2016-07-30,3,4,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",223,60
2024-09-30,4,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",34,39
2011-05-15,3,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",18,52
2024-06-08,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",100,203
2021-01-02,4,3,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",249,9
2013-03-29,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",227,67
2016-04-04,3,3,Great time!,41,209
2022-05-04,3,4,Great food,98,90
2007-02-05,4,3,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",291,187
2008-07-03,4,3,Good food for the price,29,155
2012-03-08,3,4,Great service!,109,72
2021-03-11,4,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",188,233
2024-02-05,4,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",20,48
2023-06-21,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",55,234
2016-05-03,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",239,69
2013-08-29,4,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",168,171
2012-09-30,3,4,Pog,210,114
2008-05-17,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",212,77
2011-05-28,4,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",388,171
2008-04-12,3,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",215,12
2013-07-22,3,3,Great service!,340,105
2022-08-06,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",224,166
2006-05-25,3,4,Good food for the price,335,21
2012-11-19,4,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",331,225
2019-11-04,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",311,52
2023-01-12,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",178,201
2012-04-03,3,3,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",18,57
2017-04-06,3,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",39,120
2014-08-22,4,3,Great food,339,173
2021-01-04,3,3,Good food for the price,145,14
2019-06-15,4,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",206,127
2016-10-01,3,3,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",179,156
