"version","generator","osm3s__timestamp_osm_base","osm3s__copyright","elements__type","elements__id","elements__nodes__001","elements__nodes__002","elements__nodes__003","elements__nodes__004","elements__nodes__005","elements__nodes__006","elements__nodes__007","elements__nodes__008","elements__nodes__009","elements__nodes__010","elements__nodes__011","elements__nodes__012","elements__nodes__013","elements__lat","elements__lon","elements__tags__addr:housename","elements__tags__addr:city","elements__tags__addr:country","elements__tags__addr:housenumber","elements__tags__addr:postcode","elements__tags__addr:province","elements__tags__addr:street","elements__tags__air_conditioning","elements__tags__addr:unit","elements__tags__alt_name","elements__tags__amenity","elements__tags__attribution","elements__tags__contact:phone","elements__tags__building","elements__tags__canvec:CODE","elements__tags__canvec:UUID","elements__tags__building:levels","elements__tags__brewery","elements__tags__capacity","elements__tags__brand","elements__tags__brand:wikidata","elements__tags__brand:wikipedia","elements__tags__brand:website","elements__tags__contact:facebook","elements__tags__bar","elements__tags__check_date","elements__tags__check_date:opening_hours","elements__tags__diet:vegan","elements__tags__diet:vegetarian","elements__tags__cuisine","elements__tags__disused","elements__tags__diet:halal","elements__tags__fixme","elements__tags__disused:amenity","elements__tags__drive_through","elements__tags__indoor_seating","elements__tags__disused:shop","elements__tags__highchair","elements__tags__llbo","elements__tags__level","elements__tags__email","elements__tags__delivery","elements__tags__internet_access","elements__tags__diet:gluten_free","elements__tags__name","elements__tags__name:zh","elements__tags__name:en","elements__tags__official_name","elements__tags__opening_hours","elements__tags__roof:levels","elements__tags__payment:american_express","elements__tags__payment:cash","elements__tags__payment:discover_card","elements__tags__payment:interac","elements__tags__payment:credit_cards","elements__tags__payment:debit_cards","elements__tags__payment:mastercard","elements__tags__payment:visa","elements__tags__outdoor_seating","elements__tags__phone","elements__tags__reservation","elements__tags__shop","elements__tags__source","elements__tags__twitter","elements__tags__smoking","elements__tags__toilets","elements__tags__toilets:wheelchair","elements__tags__takeaway","elements__tags__url","elements__tags__website","elements__tags__website:menu","elements__tags__website:en","elements__tags__website:fr","elements__tags__wheelchair"
"","","","","node","1215866061","","","","","","","","","","","","","","43.4181315","-80.4535303","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Country Boy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1254638287","","","","","","","","","","","","","","43.4513517","-80.4987396","The Tannery","","","","","","Charles Street West","","","","restaurant","","","","","","","","","","","","","","","","","","","pizza","","","","","","","","","","","","","","","The Civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1254638289","","","","","","","","","","","","","","43.4513244","-80.4976962","The Tannery","Kitchener","","121","N2G 1H6","","Charles Street West","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Grain Food Lounge","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1327019332","","","","","","","","","","","","","","43.454364","-80.5189215","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","2023-12-18","","","thai","","","","","","","","","","","","","","","Thai Bistro","","","","Mo-Th 11:00-14:00,16:30-21:00; Fr 11:00-21:00; Sa 15:00-21:00","","","","","","","","","","","","","","","","","","","","","","","","","no"
"","","","","node","1327019333","","","","","","","","","","","","","","43.4542335","-80.5188383","","","","725","","","Belmont Avenue West","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Raja Chettinad","","","","Mo,We,Th 10:00-03:00, Fr-Su 08:00-03:00, Tu 16:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1327026086","","","","","","","","","","","","","","43.4538415","-80.5185524","","","","709","","","Belmont Avenue West","","","","restaurant","","","","","","","","","","","","","","","","2023-12-19","","","italian","","","","","","","","","","","","","","","Casa Rugantino","","","","Tu-Fr 11:00-14:00, Tu-Sa 17:00-21:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1327026089","","","","","","","","","","","","","","43.4537446","-80.5184777","","","","705","","","Belmont Avenue West","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Checkerboard Restaurant","","","","Sa-Tu 08:00-15:00; We-Fr 08:00-19:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1493872357","","","","","","","","","","","","","","43.4665967","-80.5229509","","","","51","N2J 2W9","","King Street North","","","","restaurant","","","","","","","","","","","","","","","","","","","vietnamese","","","","","","","","","","","","","","","Twenty Pho Seven","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1566651701","","","","","","","","","","","","","","43.4885741","-80.492164","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","greek","","","","","","","","","","","","","","","Mediterraneo","","","","","","","","","","","","","","","+1-519-569-8100","","","","","","","","","","https://mediterraneokw.com/","","","",""
"","","","","node","1583468586","","","","","","","","","","","","","","43.4653115","-80.5221843","","Waterloo","","4","N2J 2W7","ON","King Street North","","","","restaurant","","","","","","","","170","Pür & Simple","Q118558630","","","","","","","","","breakfast","","","","","","","","","","","","yes","","yes","Pür & Simple","","","","Mo-Su 07:00-15:00","","yes","yes","","","yes","yes","yes","yes","","+1-519-954-1004","","","","","no","","","yes","","https://pursimple.com/waterloo/","","","","no"
"","","","","node","1616131235","","","","","","","","","","","","","","43.4386808","-80.5102176","","","","","","","","","12","","restaurant","","","","","","","","","Topper's Pizza","Q7825105","en:Topper's Pizza (Canadian restaurant)","","","","","","","","pizza","","","","","","","","","","","","","","","Topper's Pizza","","","","Su,Mo 11:00-22:00; Tu-Th 11:00-24:00; Fr-Sa 11:00-25:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1616144206","","","","","","","","","","","","","","43.4384664","-80.5118701","","Kitchener","","370","N2M 5J9","","Highland Road West","","12","","restaurant","","","","","","","","","","","","","","","","","","","indian","","","","","","","","","","","","","","","Flamehouse Bar and Gril","","","","","","","","","","","","","","","","","","","","","","","","","https://www.flamehouse.ca/","","","",""
"","","","","node","1616159692","","","","","","","","","","","","","","43.4346355","-80.5152253","","","","","","","","","","","restaurant","","","","","","","","","BarBurrito","Q104844862","","","","","","","","","mexican","","","","","","","","","","","","","","","BarBurrito","","","","","","","","","","","","","","","","","","","","","","","","","https://www.barburrito.ca/location/kitchener-highland/","","https://www.barburrito.ca/location/kitchener-highland/","https://www.barburrito.ca/fr/location/kitchener-highland/",""
"","","","","node","1616159723","","","","","","","","","","","","","","43.4348486","-80.5149878","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","chinese","","","","","","","","","","","","","","","Mr. Wok","","","","","","","","","","","","","","","","","","","","","","","","","http://www.mrwokkw.com/","","","",""
"","","","","node","1616159734","","","","","","","","","","","","","","43.4355133","-80.5165807","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","barbecue","","","","","","","","","","","","","","","Prime Bar-B-Q Restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1626379705","","","","","","","","","","","","","","43.4639478","-80.5236075","","","","","","","","","","","restaurant","","","","","","","","","Cora","Q2996960","en:Cora (restaurant)","","","","2024-04-01","","","","breakfast","","","","","","","","","","","","","","","Cora","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"","","","","node","1626379712","","","","","","","","","","","","","","43.4668862","-80.5232098","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","american","","","","","","","","","","-1","","","","","Lion Brewery Restaurant","","","","Mo-Fr 11:00-01:00; Sa-Su 10:00-01:00","","","","","","","","","","","","","","","","","","","","","http://www.huetherhotel.com/Venues.htm#Lion%20Brewery","","","","no"
"","","","","node","1629123471","","","","","","","","","","","","","","43.4597997","-80.5191797","","Waterloo","","187","N2J 1R1","","King Street South","","102","","restaurant","","","","","","","","","","","","","","","2023-04-25","","","","","","","","","","","","","","","","","","","The Bauer Kitchen","","","","Mo-We 11:00-23:00; Th,Fr 11:00-24:00; Sa 10:00-24:00; Su 10:00-23:00","","","","","","","","","","","+1-519-772-0790","","","","thebauerkitchen","","","","","","https://www.thebauerkitchen.ca/","","","","yes"
"","","","","node","1780348322","","","","","","","","","","","","","","43.4480537","-80.4838558","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","mediterranean;syrian;turkish","","","","","","","","","","","","","","","Naranj Blossom","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1823151962","","","","","","","","","","","","","","43.4291572","-80.4327766","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","italian","","","","","","","","","","","","","","","del Dente","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1866773174","","","","","","","","","","","","","","43.4767687","-80.5213432","","Waterloo","","65","N2J 2V9","","University Avenue East","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wing's Up","","","","Mo-Th 11:00-23:00; Fr,Sa 11:00-24:00; Su 12:00-23:00","","","","","","","","","","","+1-519-725-5252","","","photo","","","","","","","https://wingsup.com/","","","",""
"","","","","node","1980623367","","","","","","","","","","","","","","43.4193568","-80.4503489","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kitchener@enniospasta.ca","","","","Ennio's","","","","Mo-Th 11:00-21:00; Fr 11:00-22:00; Sa 12:00-22:00; Su 16:00-21:00","","","","","","","","","","","+1-519-576-9552","","","","","","","","","","https://www.enniospasta.ca/","","","",""
"","","","","node","1980634659","","","","","","","","","","","","","","43.4205783","-80.4488878","","","","","","","","","","","restaurant","","","","","","","","","Swiss Chalet","Q2372909","en:Swiss Chalet","","","","","","","","chicken","","","","","","","","","","","","","","","Swiss Chalet","","","","Mo-Sa 11:30-22:00; Su 11:00-21:30","","","","","","","","","","","","","","","","","","","yes","","","","","",""
"","","","","node","1983533625","","","","","","","","","","","","","","43.4692364","-80.5402133","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","Festival Fare","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1985205333","","","","","","","","","","","","","","43.4241024","-80.4854161","","","","","","","","","","","restaurant","","","","","","","","","Montana's","Q17022490","en:Montana's BBQ & Bar","","","","","","","","barbecue","","","","","","","","","","","","","","","Montana's","","","Montana's BBQ & Bar","","","","","","","","","","","","","","","","","","","","","","https://www.montanas.ca/","","","",""
"","","","","node","1985205393","","","","","","","","","","","","","","43.4229647","-80.4887259","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fireside Family Restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1985205434","","","","","","","","","","","","","","43.4206036","-80.5029577","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mel's Diner","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2018481111","","","","","","","","","","","","","","43.4497717","-80.4887306","","Kitchener","","20","","","King Street East","","","","restaurant","","","","","","","","","","","","","","","","","","","caribbean;seafood","","","","","","","","","","","","","","","Mark's Caribbean Kitchen and Seafood","","","","Tu-Sa 11:00-21:00; Su 11:00-20:00; Mo off","","","","","","","","","","","","","","","","","","","","","https://www.markscaribbeankitchen.ca/","","","",""
"","","","","node","2018481112","","","","","","","","","","","","","","43.4494966","-80.488748","","Kitchener","","29","","","King Street East","","","","restaurant","","","","","","","","","oh bombay","","","https://www.ohbombay.ca/","","","","","","","indian","","","","","","","","","","","","","","","oh bombay","","","","","","","","","","","","","","","","","","","","","","","","","https://www.ohbombay.ca/locations/kitchener/","","","",""
"","","","","node","2025377169","","","","","","","","","","","","","","43.4755129","-80.5180961","","Waterloo","","183","N2J 3H4","","Weber Street North","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Korner Kitchen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2034980617","","","","","","","","","","","","","","43.4630552","-80.4664266","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arabesque Cafe Family Restaurant","","","","","","","","","","","","","","","","","","","","","","","","","https://www.arabesquecafekw.com/","","","",""
"","","","","node","2035033993","","","","","","","","","","","","","","43.4636208","-80.4644143","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","seafood","","","","","","","","","","","","","","","King Crab","","","","","","","","","","","","","","","","","","","","","","","","","http://www.kingcraboysterbar.com/welcome.html","","","",""
"","","","","node","2039276443","","","","","","","","","","","","","","43.4499614","-80.4908581","","Kitchener","","30","N2G 1A6","","Ontario Street South","","","","restaurant","","","","","","","","","","","","","","","","","","","soul_food","","","","","","","","","","","","","","","The Grand Trunk Saloon","","","","","","","","","","","","","","no","","","","","","no","","","","","https://www.grandtrunksaloon.com/","","","",""
"","","","","node","2059259719","","","","","","","","","","","","","","43.4378792","-80.4605086","","","","","","","","","","","restaurant","","","","","","","","","Red Lobster","Q846301","en:Red Lobster","","","","","","","","seafood","","","","","","","","","","","","","","","Red Lobster","","","","Su-Th 11:00-22:00, Fr,Sa 11:00-23:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2076852947","","","","","","","","","","","","","","43.4499885","-80.5004767","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Lab","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2089187690","","","","","","","","","","","","","","43.439377","-80.4648865","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","2023-04-30","","","","african","","","","","","","","","","","","","","","A.M. Africa","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2098921229","","","","","","","","","","","","","","43.4511236","-80.4931783","","Kitchener","","","N2G 1B1","","King Street West","","217","","restaurant","","","","","","","","","","","","","","","2023-05-06","","","","japanese","","","","","","","","","","","","no","","","Kinkaku Izakaya","","","","","","","","","","","","","","no","","","","","","","","","yes","","http://www.kinkakuizakaya.com/lunch.html","","","","limited"
"","","","","node","2098921321","","","","","","","","","","","","","","43.4504387","-80.4911071","","","","103","","","King Street West","","","","restaurant","","","","","","","","","","","","","","","","","","","sushi","","","","","","","","","","","","","","","Yo's Sushi","","","","","","","","","","","","","","","","","","","","","","","","","https://yo-sushi.com/","","","",""
"","","","","node","2103086648","","","","","","","","","","","","","","43.4522917","-80.4838985","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","2023-05-22","","","","greek","","","","","","","","","","","","","","","Three Kretans","","","","","","","","","","","","","","","","","","","","","","","","","https://threekretans.com/","","","",""
"","","","","node","2107965674","","","","","","","","","","","","","","43.4592038","-80.4816931","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","chinese","","","","","","","","","","","","","","","Sam's Chinese Kitchen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2140296029","","","","","","","","","","","","","","43.4507721","-80.4877413","","","","14","N2H 1A3","","Duke Street East","","","","restaurant","","","","","","","","","","","","","","","","","","","japanese","","","","","","","","","","","","","","","Enjoy Sushi","","","","Mo-Su 11:00-22:00","","","","","","","","","","","+1 519 208 1088","","","","","","","","","","https://enjoysushi.ca","","","",""
"","","","","node","2140296044","","","","","","","","","","","","","","43.4508773","-80.4880068","","Kitchener","","6","N2H 1A3","","Duke Street East","","","","restaurant","","","","","","","","","","","","","","","","","","","indian","","","","","","","","","","","","","","","Dwarkesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2142914115","","","","","","","","","","","","","","43.4507381","-80.4919016","","","","151","","","King Street West","","","","restaurant","","","","","","","","","","","","","","","","","","","vietnamese","","","","","","","","","","0","","","","","Pho DNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2273983368","","","","","","","","","","","","","","43.4426414","-80.4737159","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","2023-04-30","","","","fish","","","","","","","","","","","","","","","King Fish & Chips","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2302080410","","","","","","","","","","","","","","43.4761295","-80.5257297","","Waterloo","","247","","","King Street North","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mozy's Shawarma","","Mozy's Shawarma","","Su-Th 11:00-23:00; Fr-Sa 11:00-03:00","","","","","","","","","","","","","","","","","","","","","http://www.mozysshawarma.ca/","","","",""
"","","","","node","2356240126","","","","","","","","","","","","","","43.4207083","-80.4422193","","Kitchener","","385","N2C 2N9","","Fairway Road South","","","","restaurant","","","","","","","","","Moxie's","Q6927497","","","","","","","","","bar&grill","","","","","","","","","","","","","","","Moxie's","","","","","","","","","","","","","","","+1-519-208-4488","","","","","","","","","","http://moxies.ca/","","","",""
"","","","","node","2433813973","","","","","","","","","","","","","","43.4474975","-80.4841059","","Kitchener","","301","N2G 2L2","","King Street East","","","","restaurant","","","","","","","","","","","","","","","2023-04-30","","","","vietnamese","","","","","","","","","","","","","","","Pho Dau Bo","","","","","","no","yes","no","yes","","","yes","yes","","","","","","","","","","","","https://www.phodauboking.com/","","","",""
"","","","","node","2436330178","","","","","","","","","","","","","","43.4774007","-80.5249531","","Waterloo","","262","","","King Street North","","","","restaurant","","","","","","","","","","","","","","","","","yes","yes","indonesian;fusion","","","","","","","","","","","","","","","Bhima's Warung","","","","17:00-21:00","","","","","","","","","","","+1-519-747-0722","","","","","","","","","","https://bhimaswarung.com/","","","",""
"","","","","node","2436330647","","","","","","","","","","","","","","43.4771715","-80.5249475","","","","258","","","King Street North","","","","restaurant","","","","","","","","","","","","","","","2023-08-27","","","","chinese","","","","","","","","","","","","","","","China Bowl","","","","","","","","","","","","","","no","","","","","","","","","","","","","","",""
"","","","","node","2438409281","","","","","","","","","","","","","","43.4518952","-80.494651","","","","300","","","King Street West","","","","restaurant","","","","","","","","","","","","","","","","","","","sandwich","","","","","","","","","yes","","","","","","Slices","","","","Mo-Th,Sa-Su 08:00-16:00; Fr 08:00-17:00; 2022 Aug 14 08:00-12:00; 2022 Aug 15-26 off","","","","","","","","","","","+1 519-576-3760","","","","","","","","","","http://slicesrestaurant.com/","","","","limited"
"","","","","node","2465567312","","","","","","","","","","","","","","43.437893","-80.4589212","","","","","","","","","","","restaurant","","","","","","","","","","","","","https://www.facebook.com/grillhousekitchener/","","","","","","","","","","","","","","","","","","","","","Grill House","","","","Mo-Fr 10:30-20:00, Sa 12:00-20:00, Su 12:00-18:00","","","","","","","","","","","+1-519-744-7455","","","","","","","","","","","","","",""
"","","","","node","2467885275","","","","","","","","","","","","","","43.428536","-80.4333329","","Kitchener","","2979","N2A 1A9","Ontario","King Street East","yes","","","restaurant","","","","","","","","","","","","","","yes","","","","","indian","","","","","","","","yes","","","","","","","Pranthe Wali Gali","","","","","","","","","","","","","","","","","","","","","","","","","http://www.miltonsrestaurant.ca/","","","",""
"","","","","node","2467887734","","","","","","","","","","","","","","43.465239","-80.5228329","","","","8","N2L 1S7","","Erb Street West","","","","restaurant","","","","","","","","","","","","","","","","","","","indian","","","","","","","yes","","","","","","","","Dosa Boyz","","","","","","","","","","","","","","","+1 548-889-3150","","","","","","","","","","https://dosaboyz.ca","","","",""
"","","","","node","2511092257","","","","","","","","","","","","","","43.421149","-80.4465675","","","","500","","","Fairway Road South","","","","restaurant","","","","","","","","","","","","","","","","","","","sandwich","","","","","","","","","","","","","","","Ben Thanh","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2539226041","","","","","","","","","","","","","","43.4663889","-80.4558217","","","","","","","","","","","restaurant","","","","","","","","","Swiss Chalet","Q2372909","en:Swiss Chalet","","","","","","","","chicken","","","","","","","","","","","","","","","Swiss Chalet","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","2909460117","","","","","","","","","","","","","","43.4769129","-80.5206454","","Waterloo","","65","N2J 2V9","","University Avenue East","","6","","restaurant","","","","","","","","","","","","","","","","","","","mexican","","","","","","","","","","","","","","","Guac Mexi Grill","","","","Mo-Sa 11:00-19:00","","","","","","","","","","","+1-519-513-2495","","","","","","","","","","","","","","limited"
"","","","","node","2938254243","","","","","","","","","","","","","","43.4769352","-80.5249015","","Waterloo","","258","N2J 2Y9","","King Street North","","","","restaurant","","","","","","","","","","","","","","","","","","","korean","","","","","","","","","","","","","","","Kim's Kitchen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
